ball_receipt.outcome.id,ball_receipt.outcome.name,ball_recovery.recovery_failure,block.deflection,carry.end_location,clearance.aerial_won,counterpress,dribble.nutmeg,dribble.outcome.id,dribble.outcome.name,dribble.overrun,duel.outcome.id,duel.outcome.name,duel.type.id,duel.type.name,duration,foul_committed.card.id,foul_committed.card.name,foul_committed.offensive,foul_won.defensive,goalkeeper.body_part.id,goalkeeper.body_part.name,goalkeeper.end_location,goalkeeper.outcome.id,goalkeeper.outcome.name,goalkeeper.position.id,goalkeeper.position.name,goalkeeper.technique.id,goalkeeper.technique.name,goalkeeper.type.id,goalkeeper.type.name,id,index,interception.outcome.id,interception.outcome.name,location,minute,pass.aerial_won,pass.angle,pass.assisted_shot_id,pass.backheel,pass.body_part.id,pass.body_part.name,pass.cross,pass.cut_back,pass.deflected,pass.end_location,pass.goal_assist,pass.height.id,pass.height.name,pass.length,pass.outcome.id,pass.outcome.name,pass.recipient.id,pass.recipient.name,pass.shot_assist,pass.switch,pass.type.id,pass.type.name,period,play_pattern.id,play_pattern.name,player.id,player.name,position.id,position.name,possession,possession_team.id,possession_team.name,related_events,second,shot.aerial_won,shot.body_part.id,shot.body_part.name,shot.end_location,shot.first_time,shot.freeze_frame,shot.key_pass_id,shot.open_goal,shot.outcome.id,shot.outcome.name,shot.statsbomb_xg,shot.technique.id,shot.technique.name,shot.type.id,shot.type.name,substitution.outcome.id,substitution.outcome.name,substitution.replacement.id,substitution.replacement.name,tactics.formation,tactics.lineup,team.id,team.name,timestamp,type.id,type.name,under_pressure,50_50.outcome.id,50_50.outcome.name,ball_recovery.offensive,block.offensive,foul_committed.advantage,foul_committed.penalty,foul_committed.type.id,foul_committed.type.name,foul_won.advantage,foul_won.penalty,miscontrol.aerial_won,pass.technique.id,pass.technique.name,pass.through_ball,bad_behaviour.card.id,bad_behaviour.card.name,injury_stoppage.in_chain,pass.miscommunication,shot.one_on_one,shot.deflected,block.save_block,shot.redirect
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99f8eb01-1be2-48b9-a078-1742ea2db452,652.0,,,"[7.0, 42.0]",18.0,,,,,,,,,,,,,,,,,,,,,,,1.0,3.0,From Free Kick,5224.0,Sardar Azmoun,23.0,Center Forward,35.0,788.0,Morocco,,16.0,,,,,,,,,,,,,,,,,,,,,,797.0,Iran,00:18:16.000,37.0,Error,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ab779212-90a2-4d8f-839f-815e294381dd,2842.0,,,"[6.0, 46.0]",94.0,,,,,,,,,,,,,,,,,,,,,,,2.0,3.0,From Free Kick,5223.0,Aziz Bouhaddouz,23.0,Center Forward,173.0,797.0,Iran,,7.0,,,,,,,,,,,,,,,,,,,,,,788.0,Morocco,00:49:07.500,37.0,Error,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,225f86c0-64dd-4fec-bb5a-e8621fbd20bc,2269.0,,,"[60.0, 33.0]",59.0,,,,,,,,,,,,,,,,,,,,,,,2.0,1.0,Regular Play,3637.0,Grzegorz Krychowiak,9.0,Right Defensive Midfield,112.0,789.0,Poland,,54.0,,,,,,,,,,,,,,,,,,,,,,789.0,Poland,00:14:54.693,37.0,Error,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9806f4bb-36e5-46e8-9a4f-0f894e55360c,924.0,,,"[18.0, 38.0]",22.0,,,,,,,,,,,,,,,,,,,,,,,1.0,4.0,From Throw In,5580.0,Duško Tošić,5.0,Left Center Back,47.0,773.0,Switzerland,,29.0,,,,,,,,,,,,,,,,,,,,,,786.0,Serbia,00:22:29.533,37.0,Error,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,ed337c0f-9251-48a3-83bf-7ed4fe2733b8,3315.0,,,"[5.0, 37.0]",93.0,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,From Corner,3471.0,Dejan Lovren,5.0,Left Center Back,170.0,793.0,Iceland,,39.0,,,,,,,,,,,,,,,,,,,,,,785.0,Croatia,00:48:39.520,37.0,Error,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1718d678-328f-4097-95bf-0a0e145c0909,3208.0,,,"[12.0, 43.0]",80.0,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,From Corner,5678.0,Jefferson Andrés Lerma Solís,19.0,Center Attacking Midfield,151.0,789.0,Poland,,9.0,,,,,,,,,,,,,,,,,,,,,,769.0,Colombia,00:35:09.173,37.0,Error,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0cc9e617-bbe7-4d9e-891c-bfb9262a1b84,2233.0,,,"[15.0, 29.0]",68.0,,,,,,,,,,,,,,,,,,,,,,,2.0,4.0,From Throw In,5664.0,Salif Sané,3.0,Right Center Back,136.0,769.0,Colombia,,44.0,,,,,,,,,,,,,,,,,,,,,,787.0,Senegal,00:23:44.187,37.0,Error,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,987ce962-ec1d-494e-b41e-3c40f3a6517d,2407.0,,,"[6.0, 37.0]",77.0,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,From Corner,6196.0,Yerry Fernando Mina González,3.0,Right Center Back,143.0,787.0,Senegal,,9.0,,,,,,,,,,,,,,,,,,,,,,769.0,Colombia,00:32:09.667,37.0,Error,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cee4a0b2-297b-455c-b50b-600ba239dbc9,258.0,,,"[11.0, 38.0]",7.0,,,,,,,,,,,,,,,,,,,,,,,1.0,4.0,From Throw In,5222.0,Roozbeh Cheshmi,5.0,Left Center Back,14.0,788.0,Morocco,,43.0,,,,,,,,,,,,,,,,,,,,,,797.0,Iran,00:07:43.880,37.0,Error,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99f8eb01-1be2-48b9-a078-1742ea2db452,652.0,,,"[7.0, 42.0]",18.0,,,,,,,,,,,,,,,,,,,,,,,1.0,3.0,From Free Kick,5224.0,Sardar Azmoun,23.0,Center Forward,35.0,788.0,Morocco,,16.0,,,,,,,,,,,,,,,,,,,,,,797.0,Iran,00:18:16.000,37.0,Error,,,,,,,,,,,,,,,,,,,,,,,
